0,0,0,0,0
1,0,3,0,3
2,3,3,3,3
3,3,0,3,0
4,0,3,2,4
5,3,0,4,2
6,2,4,2,4
7,3,3,4,4
8,4,1,4,4
9,4,4,4,1
10,1,4,1,4
11,1,1,4,4
12,0,0,2,2
13,0,3,2,1
14,3,3,1,1
15,3,0,1,2
16,2,4,0,3
17,4,2,3,0
18,4,4,3,3
19,4,2,4,2
20,1,4,4,4
21,4,4,1,4
22,4,4,1,1
23,4,1,4,1
24,2,2,2,2
25,2,1,2,1
26,1,1,1,1
27,1,2,1,2
28,2,4,2,1
29,3,3,1,4
30,2,1,2,4
31,3,3,4,1
32,1,1,1,4
33,1,1,4,1
34,4,1,1,4
35,1,4,4,1
36,2,2,0,0
37,2,1,0,3
38,1,1,3,3
39,1,2,3,0
40,4,1,3,3
41,1,2,4,2
42,1,4,3,3
43,4,2,1,2
44,1,4,1,1
45,4,1,1,1
46,4,4,4,4
